1 3
2 7
3 15
4 24
5 34
6 43
7 54
8 75
9 93
10 115
11 131
12 149
13 169
14 185
15 219
16 251
17 277
18 302
19 327
20 349
21 368
22 390
23 414
24 440
25 478
26 507
27 536
28 563
29 596
30 636
31 668
32 717
33 760
34 797
35 828
36 852
37 888
38 921
39 981
40 1034
41 1074
42 1118
43 1165
44 1222
45 1271
46 1310
47 1351
48 1394
49 1436
50 1489
51 1545
52 1602
53 1656
54 1703
55 1754
56 1809
57 1859
58 1909
59 1949
60 1988
61 2030
62 2075
63 2138
64 2213
65 2275
66 2343
67 2396
68 2455
69 2526
70 2611
71 2686
72 2757
73 2852
74 2936
75 3006

